SessionID,Timestamp,Event,SampleIndex,RawDistance_mm
20260915_160536,2026-09-15 16:06:31,Calibration_FloaterThickness,83,437
20260915_160536,2026-09-15 16:06:31,Calibration_FloaterThickness,84,437
20260915_160536,2026-09-15 16:06:32,Calibration_FloaterThickness,85,439
20260915_160536,2026-09-15 16:06:32,Calibration_FloaterThickness,86,437
20260915_160536,2026-09-15 16:06:32,Calibration_FloaterThickness,87,438
20260915_160536,2026-09-15 16:06:32,Calibration_FloaterThickness,88,437
20260915_160536,2026-09-15 16:06:32,Calibration_FloaterThickness,89,436
20260915_160536,2026-09-15 16:06:33,Calibration_FloaterThickness,90,436
20260915_160536,2026-09-15 16:06:33,Calibration_FloaterThickness,91,436
20260915_160536,2026-09-15 16:06:33,Calibration_FloaterThickness,92,436
20260915_160536,2026-09-15 16:06:33,Calibration_FloaterThickness,93,437
20260915_160536,2026-09-15 16:06:33,Calibration_FloaterThickness,94,437
20260915_160536,2026-09-15 16:06:34,Calibration_FloaterThickness,95,436
20260915_160536,2026-09-15 16:06:34,Calibration_FloaterThickness,96,436
20260915_160536,2026-09-15 16:06:34,Calibration_FloaterThickness,97,437
20260915_160536,2026-09-15 16:06:34,Calibration_FloaterThickness,98,435
20260915_160536,2026-09-15 16:06:34,Calibration_FloaterThickness,99,437
20260915_160536,2026-09-15 16:06:35,Calibration_FloaterThickness,100,437
20260915_160536,2026-09-15 16:08:14,DrainExp_InitialMeasurement,1,184
20260915_160536,2026-09-15 16:08:14,DrainExp_InitialMeasurement,2,183
20260915_160536,2026-09-15 16:08:15,DrainExp_InitialMeasurement,3,184
20260915_160536,2026-09-15 16:08:15,DrainExp_InitialMeasurement,4,182
20260915_160536,2026-09-15 16:08:15,DrainExp_InitialMeasurement,5,181
20260915_160536,2026-09-15 16:08:15,DrainExp_InitialMeasurement,6,182
20260915_160536,2026-09-15 16:08:15,DrainExp_InitialMeasurement,7,181
20260915_160536,2026-09-15 16:08:16,DrainExp_InitialMeasurement,8,182
20260915_160536,2026-09-15 16:08:16,DrainExp_InitialMeasurement,9,182
20260915_160536,2026-09-15 16:08:16,DrainExp_InitialMeasurement,10,182
20260915_160536,2026-09-15 16:08:16,DrainExp_InitialMeasurement,11,181
20260915_160536,2026-09-15 16:08:16,DrainExp_InitialMeasurement,12,181
20260915_160536,2026-09-15 16:08:17,DrainExp_InitialMeasurement,13,181
20260915_160536,2026-09-15 16:08:17,DrainExp_InitialMeasurement,14,181
20260915_160536,2026-09-15 16:08:17,DrainExp_InitialMeasurement,15,182
20260915_160536,2026-09-15 16:08:17,DrainExp_InitialMeasurement,16,182
20260915_160536,2026-09-15 16:08:17,DrainExp_InitialMeasurement,17,182
20260915_160536,2026-09-15 16:08:18,DrainExp_InitialMeasurement,18,181
20260915_160536,2026-09-15 16:08:18,DrainExp_InitialMeasurement,19,182
20260915_160536,2026-09-15 16:08:18,DrainExp_InitialMeasurement,20,181
20260915_160536,2026-09-15 16:08:18,DrainExp_InitialMeasurement,21,182
20260915_160536,2026-09-15 16:08:18,DrainExp_InitialMeasurement,22,182
20260915_160536,2026-09-15 16:08:19,DrainExp_InitialMeasurement,23,181
20260915_160536,2026-09-15 16:08:19,DrainExp_InitialMeasurement,24,181
20260915_160536,2026-09-15 16:08:19,DrainExp_InitialMeasurement,25,182
20260915_160536,2026-09-15 16:08:19,DrainExp_InitialMeasurement,26,181
20260915_160536,2026-09-15 16:08:19,DrainExp_InitialMeasurement,27,181
20260915_160536,2026-09-15 16:08:20,DrainExp_InitialMeasurement,28,181
20260915_160536,2026-09-15 16:08:20,DrainExp_InitialMeasurement,29,182
20260915_160536,2026-09-15 16:08:20,DrainExp_InitialMeasurement,30,182
20260915_160536,2026-09-15 16:08:20,DrainExp_InitialMeasurement,31,182
20260915_160536,2026-09-15 16:08:20,DrainExp_InitialMeasurement,32,184
20260915_160536,2026-09-15 16:08:21,DrainExp_InitialMeasurement,33,182
20260915_160536,2026-09-15 16:08:21,DrainExp_InitialMeasurement,34,181
20260915_160536,2026-09-15 16:08:21,DrainExp_InitialMeasurement,35,182
20260915_160536,2026-09-15 16:08:21,DrainExp_InitialMeasurement,36,182
20260915_160536,2026-09-15 16:08:21,DrainExp_InitialMeasurement,37,178
20260915_160536,2026-09-15 16:08:22,DrainExp_InitialMeasurement,38,181
20260915_160536,2026-09-15 16:08:22,DrainExp_InitialMeasurement,39,182
20260915_160536,2026-09-15 16:08:22,DrainExp_InitialMeasurement,40,181
20260915_160536,2026-09-15 16:08:22,DrainExp_InitialMeasurement,41,182
20260915_160536,2026-09-15 16:08:22,DrainExp_InitialMeasurement,42,182
20260915_160536,2026-09-15 16:08:23,DrainExp_InitialMeasurement,43,182
20260915_160536,2026-09-15 16:08:23,DrainExp_InitialMeasurement,44,183
20260915_160536,2026-09-15 16:08:23,DrainExp_InitialMeasurement,45,183
20260915_160536,2026-09-15 16:08:23,DrainExp_InitialMeasurement,46,182
20260915_160536,2026-09-15 16:08:23,DrainExp_InitialMeasurement,47,182
20260915_160536,2026-09-15 16:08:24,DrainExp_InitialMeasurement,48,182
20260915_160536,2026-09-15 16:08:24,DrainExp_InitialMeasurement,49,182
20260915_160536,2026-09-15 16:08:24,DrainExp_InitialMeasurement,50,182
20260915_160536,2026-09-15 16:08:24,DrainExp_InitialMeasurement,51,183
