SessionID,Iteration,TargetLevel_mm,ToFAvg_mm,DistFromZero_mm,CalculatedFluid_mm,PhysicalIndex,PhysicalMeasure_mm
20260922_192901,1,200,210.49,189.51,205.51,1,191.00
20260922_192901,1,200,210.49,189.51,205.51,2,191.00
20260922_192901,1,200,210.49,189.51,205.51,3,191.00
20260922_192901,1,200,210.49,189.51,205.51,4,191.00
20260922_192901,1,200,210.49,189.51,205.51,5,191.00
20260922_195145,1,200,215.37,184.63,199.63,1,191.00
20260922_195145,1,200,215.37,184.63,199.63,2,191.00
20260922_195145,1,200,215.37,184.63,199.63,3,191.00
20260922_195145,1,200,215.37,184.63,199.63,4,191.00
20260922_195145,1,200,215.37,184.63,199.63,5,191.00
20260922_195145,2,200,208.70,191.30,206.30,1,191.00
20260922_195145,2,200,208.70,191.30,206.30,2,191.00
20260922_195145,2,200,208.70,191.30,206.30,3,191.00
20260922_195145,2,200,208.70,191.30,206.30,4,191.00
20260922_195145,2,200,208.70,191.30,206.30,5,191.00
20260922_195145,3,200,208.36,191.64,206.64,1,193.00
20260922_195145,3,200,208.36,191.64,206.64,2,192.00
20260922_195145,3,200,208.36,191.64,206.64,3,192.00
20260922_195145,3,200,208.36,191.64,206.64,4,192.00
20260922_195145,3,200,208.36,191.64,206.64,5,192.00
20260922_195145,4,200,210.75,189.25,204.25,1,190.00
20260922_195145,4,200,210.75,189.25,204.25,2,190.00
20260922_195145,4,200,210.75,189.25,204.25,3,190.00
20260922_195145,4,200,210.75,189.25,204.25,4,190.00
20260922_195145,4,200,210.75,189.25,204.25,5,190.00
20260922_195145,5,200,210.42,189.58,204.58,1,189.00
20260922_195145,5,200,210.42,189.58,204.58,2,189.00
20260922_195145,5,200,210.42,189.58,204.58,3,189.00
20260922_195145,5,200,210.42,189.58,204.58,4,189.00
20260922_195145,5,200,210.42,189.58,204.58,5,189.00
20260922_195145,1,250,162.25,237.75,251.75,1,237.00
20260922_195145,1,250,162.25,237.75,251.75,2,237.00
20260922_195145,1,250,162.25,237.75,251.75,3,237.00
20260922_195145,1,250,162.25,237.75,251.75,4,237.00
20260922_195145,1,250,162.25,237.75,251.75,5,237.00
20260922_195145,2,250,159.88,240.12,254.12,1,241.00
20260922_195145,2,250,159.88,240.12,254.12,2,241.00
20260922_195145,2,250,159.88,240.12,254.12,3,241.00
20260922_195145,2,250,159.88,240.12,254.12,4,241.00
20260922_195145,2,250,159.88,240.12,254.12,5,241.00
20260922_195145,3,250,160.11,239.89,253.89,1,240.00
20260922_195145,3,250,160.11,239.89,253.89,2,240.00
20260922_195145,3,250,160.11,239.89,253.89,3,240.00
20260922_195145,3,250,160.11,239.89,253.89,4,240.00
20260922_195145,3,250,160.11,239.89,253.89,5,240.00
20260922_195145,4,250,158.41,241.59,255.59,1,241.00
20260922_195145,4,250,158.41,241.59,255.59,2,241.00
20260922_195145,4,250,158.41,241.59,255.59,3,241.00
20260922_195145,4,250,158.41,241.59,255.59,4,241.00
20260922_195145,4,250,158.41,241.59,255.59,5,241.00
20260922_195145,5,250,159.94,240.06,254.06,1,241.00
20260922_195145,5,250,159.94,240.06,254.06,2,241.00
20260922_195145,5,250,159.94,240.06,254.06,3,241.00
20260922_195145,5,250,159.94,240.06,254.06,4,241.00
20260922_195145,5,250,159.94,240.06,254.06,5,241.00
